age,income,employment_years,credit_score,loan_amount,loan_term_months,loan_purpose,marital_status,dependents,existing_debt,home_ownership,education_level,num_of_credit_lines,previous_defaults,months_since_last_default,debt_to_income,loan_to_income,interest_rate,approved,approval_prob
41,50755.0,4.0,591.0,24572,48,debt_consolidation,single,1,4549.0,own,high_school,2,0,,0.09,0.484,0.201,0,0.397
29,65215.0,3.0,707.0,5861,48,home_improvement,widowed,1,16644.0,own,high_school,9,0,,0.255,0.09,0.064,1,0.855
67,38418.0,14.0,657.0,19017,36,debt_consolidation,single,1,0.0,rent,bachelor,4,1,99.0,0.0,0.495,0.221,0,0.539
52,44514.0,5.0,673.0,32211,60,education,single,1,2439.0,mortgage,master,2,0,,0.055,0.724,0.208,0,0.45
50,86376.0,4.0,568.0,7017,60,home_improvement,single,1,15621.0,rent,master,1,0,,0.181,0.081,0.132,1,0.597
50,50077.0,5.0,706.0,6603,48,education,married,1,2310.0,rent,bachelor,2,1,105.0,0.046,0.132,0.123,0,0.494
68,45520.0,5.0,675.0,4757,12,education,married,2,0.0,mortgage,bachelor,3,0,,0.0,0.105,0.084,1,0.746
60,52063.0,7.0,708.0,11620,48,education,married,0,0.0,rent,high_school,5,0,,0.0,0.223,0.091,1,0.865
54,45966.0,7.0,678.0,27654,36,debt_consolidation,married,0,12582.0,rent,high_school,4,0,,0.274,0.602,0.181,0,0.501
29,32261.0,7.0,673.0,3857,24,personal,single,3,17243.0,rent,bachelor,3,1,100.0,0.534,0.12,0.138,0,0.208
20,25049.0,2.0,504.0,10062,36,car,married,3,26269.0,rent,master,2,0,,1.049,0.402,0.228,0,0.031
18,30914.0,5.0,741.0,24757,24,home_improvement,single,1,,own,bachelor,4,0,,,0.801,0.19,0,0.205
50,71823.0,3.0,544.0,21240,72,personal,married,1,21536.0,rent,bachelor,2,0,,0.3,0.296,0.187,0,0.365
57,34252.0,7.0,733.0,10003,12,debt_consolidation,single,0,0.0,rent,bachelor,3,0,,0.0,0.292,0.092,1,0.713
27,46127.0,2.0,644.0,12891,48,car,single,0,21295.0,rent,bachelor,1,0,,0.462,0.279,0.134,0,0.244
60,67518.0,6.0,521.0,24159,36,medical,married,1,2242.0,rent,master,0,0,,0.033,0.358,0.211,1,0.394
61,43040.0,4.0,643.0,30818,60,debt_consolidation,single,1,0.0,mortgage,bachelor,2,0,,0.0,0.716,0.222,0,0.382
46,65834.0,8.0,530.0,32010,24,home_improvement,divorced,0,,rent,high_school,2,0,,,0.486,0.232,0,0.391
30,11480.0,5.0,739.0,28798,48,personal,married,0,12684.0,rent,master,4,0,,1.105,2.508,0.35,0,0.01
29,,1.0,609.0,8299,60,debt_consolidation,single,0,23272.0,mortgage,bachelor,4,0,,0.465,0.166,0.131,0,0.326
48,51972.0,2.0,567.0,33186,72,home_improvement,single,0,1984.0,rent,bachelor,3,0,,0.038,0.639,0.244,0,0.329
63,50578.0,3.0,703.0,7611,60,education,married,0,9914.0,own,master,3,0,,0.196,0.15,0.078,1,0.651
19,8677.0,6.0,647.0,500,24,education,married,0,0.0,rent,high_school,3,0,,0.0,0.058,0.088,1,0.58
68,80078.0,8.0,692.0,16124,24,medical,single,0,39414.0,other,bachelor,1,0,,0.492,0.201,0.094,0,0.589
67,28633.0,4.0,641.0,29762,60,personal,divorced,0,0.0,other,bachelor,1,0,,0.0,1.039,0.287,0,0.18
52,58376.0,3.0,743.0,21636,36,home_improvement,divorced,1,0.0,mortgage,high_school,2,0,,0.0,0.371,0.103,1,0.669
40,50199.0,6.0,618.0,14263,48,medical,married,0,0.0,mortgage,master,4,0,,0.0,0.284,0.148,1,0.634
34,75093.0,6.0,524.0,17914,72,medical,married,0,13098.0,own,bachelor,4,0,,0.174,0.239,0.186,0,0.574
43,104687.0,8.0,562.0,20321,60,debt_consolidation,single,1,0.0,other,bachelor,4,1,72.0,0.0,0.194,0.208,1,0.706
25,17741.0,6.0,685.0,16476,60,personal,married,2,26173.0,own,master,5,0,,1.475,0.929,0.243,0,0.031
46,33777.0,6.0,597.0,12046,60,personal,single,0,14722.0,rent,high_school,6,0,,0.436,0.357,0.173,0,0.39
43,54727.0,5.0,753.0,7593,48,debt_consolidation,single,0,0.0,rent,bachelor,5,0,,0.0,0.139,0.051,1,0.863
27,22366.0,4.0,556.0,16123,60,education,married,0,21698.0,rent,master,2,0,,0.97,0.721,0.266,0,0.084
43,69555.0,5.0,731.0,13774,36,medical,single,0,23679.0,own,master,5,0,,0.34,0.198,0.074,1,0.731
51,71084.0,5.0,615.0,15036,72,home_improvement,married,1,0.0,rent,bachelor,5,0,,0.0,0.212,0.135,1,0.781
68,63986.0,6.0,755.0,25460,36,personal,married,0,0.0,mortgage,bachelor,2,0,,0.0,0.398,0.102,1,0.749
58,55915.0,11.0,690.0,12524,48,medical,single,0,15980.0,rent,high_school,6,0,,0.286,0.224,0.1,1,0.792
24,84243.0,8.0,665.0,12919,36,education,single,1,19880.0,mortgage,master,4,1,50.0,0.236,0.153,0.148,1,0.667
21,21109.0,7.0,703.0,16899,24,debt_consolidation,married,0,0.0,own,bachelor,4,0,,0.0,0.801,0.209,0,0.471
67,51632.0,7.0,748.0,41259,48,home_improvement,single,1,23853.0,mortgage,bachelor,4,0,,0.462,0.799,0.186,0,0.44
62,31530.0,4.0,646.0,4081,36,home_improvement,married,1,1395.0,own,high_school,3,0,,0.044,0.129,0.103,1,0.555
28,,8.0,500.0,25919,48,medical,single,1,27748.0,mortgage,bachelor,6,1,56.0,0.555,0.518,0.272,0,0.277
46,5000.0,,746.0,12010,48,education,married,0,0.0,rent,high_school,7,0,,0.0,2.402,0.35,0,0.141
53,49298.0,2.0,628.0,14390,48,debt_consolidation,single,0,0.0,rent,master,7,0,,0.0,0.292,0.144,1,0.7
42,58381.0,4.0,850.0,1878,24,debt_consolidation,single,0,,mortgage,master,2,0,,,0.032,0.03,1,0.847
38,26313.0,0.0,602.0,33805,48,home_improvement,single,2,0.0,mortgage,high_school,3,0,,0.0,1.285,0.35,0,0.111
53,34345.0,6.0,620.0,17225,60,medical,single,3,9525.0,own,bachelor,2,0,,0.277,0.502,0.19,0,0.272
27,50384.0,0.0,710.0,21588,36,medical,married,1,4798.0,rent,bachelor,3,0,,0.095,0.428,0.131,0,0.461
54,,7.0,711.0,500,48,home_improvement,married,1,6855.0,rent,master,6,0,,0.137,0.01,0.046,1,0.913
26,24178.0,9.0,684.0,8577,48,debt_consolidation,single,0,,rent,master,6,0,,,0.355,0.129,1,0.676
41,28539.0,7.0,605.0,19125,60,debt_consolidation,single,2,0.0,mortgage,other,1,0,,0.0,0.67,0.232,0,0.321
52,78140.0,2.0,557.0,13390,60,debt_consolidation,married,1,9655.0,rent,bachelor,6,0,,0.124,0.171,0.156,1,0.698
66,43176.0,4.0,596.0,19467,24,business,married,0,8117.0,mortgage,high_school,4,0,,0.188,0.451,0.192,0,0.381
52,30562.0,8.0,529.0,36029,60,debt_consolidation,married,0,0.0,mortgage,bachelor,7,0,,0.0,1.179,0.35,0,0.32
65,68217.0,5.0,815.0,20046,60,home_improvement,single,0,28736.0,rent,master,2,0,,0.421,0.294,0.051,1,0.676
53,37795.0,5.0,568.0,10513,60,education,married,1,14724.0,rent,high_school,3,0,,0.39,0.278,0.172,0,0.339
35,75686.0,6.0,626.0,8486,48,personal,divorced,0,20795.0,rent,high_school,6,0,,0.275,0.112,0.109,1,0.773
66,33407.0,2.0,705.0,7347,60,personal,single,1,0.0,mortgage,master,5,0,,0.0,0.22,0.092,1,0.645
56,46010.0,4.0,650.0,10724,48,personal,married,2,0.0,rent,master,4,0,,0.0,0.233,0.122,1,0.643
49,73624.0,7.0,603.0,11145,60,medical,married,0,36160.0,rent,high_school,3,0,,0.491,0.151,0.129,0,0.525
41,44343.0,3.0,638.0,16189,60,medical,divorced,1,12530.0,rent,master,4,0,,0.283,0.365,0.154,0,0.389
40,68901.0,6.0,601.0,20283,60,business,married,1,15455.0,rent,high_school,6,0,,0.224,0.294,0.158,0,0.679
49,48361.0,,630.0,19355,48,personal,divorced,1,14809.0,rent,high_school,6,0,,0.306,0.4,0.165,0,0.451
54,99542.0,8.0,681.0,16321,60,personal,single,1,15986.0,rent,bachelor,7,0,,0.161,0.164,0.092,1,0.924
29,89219.0,10.0,567.0,17012,24,home_improvement,single,0,0.0,rent,master,4,0,,0.0,0.191,0.155,1,0.855
66,16798.0,5.0,736.0,40357,24,home_improvement,married,0,0.0,mortgage,bachelor,6,0,,0.0,2.402,0.35,0,0.094
30,63056.0,4.0,656.0,7776,48,home_improvement,married,0,0.0,rent,bachelor,4,0,,0.0,0.123,0.097,1,0.765
40,29590.0,4.0,603.0,14631,60,education,married,1,18269.0,mortgage,high_school,4,0,,0.617,0.494,0.197,0,0.218
42,54788.0,8.0,625.0,500,36,business,married,0,0.0,own,bachelor,2,0,,0.0,0.009,0.089,1,0.729
52,51709.0,9.0,743.0,11171,48,personal,married,0,0.0,mortgage,bachelor,2,0,,0.0,0.216,0.072,1,0.796
18,23615.0,7.0,715.0,101357,24,home_improvement,married,0,362.0,rent,other,11,0,,0.015,4.292,0.094,1,0.876
47,76462.0,7.0,669.0,7701,48,home_improvement,married,3,5916.0,rent,master,2,0,,0.077,0.101,0.086,1,0.796
34,55083.0,3.0,602.0,3142,60,personal,married,1,9255.0,mortgage,high_school,4,0,,0.168,0.057,0.11,1,0.588
66,42883.0,8.0,695.0,1479,60,debt_consolidation,single,1,2706.0,mortgage,bachelor,5,0,,0.063,0.034,0.059,1,0.836
37,39047.0,7.0,651.0,16223,36,debt_consolidation,married,3,17265.0,rent,high_school,4,0,,0.442,0.415,0.158,0,0.42
65,53494.0,2.0,790.0,22103,72,medical,single,0,27504.0,rent,other,3,0,,0.514,0.413,0.088,1,0.423
42,60198.0,5.0,647.0,7285,60,debt_consolidation,single,2,10737.0,mortgage,high_school,5,0,,0.178,0.121,0.101,1,0.738
39,46876.0,7.0,785.0,500,60,home_improvement,single,0,27430.0,rent,high_school,3,0,,0.585,0.011,0.03,1,0.65
30,5000.0,6.0,666.0,16111,60,debt_consolidation,divorced,2,18249.0,mortgage,bachelor,7,0,,3.649,3.222,0.35,0,0.02
36,50422.0,1.0,567.0,19695,72,debt_consolidation,single,1,0.0,other,high_school,2,0,,0.0,0.391,0.195,1,0.372
66,13963.0,3.0,850.0,21737,60,car,single,1,0.0,rent,high_school,4,0,,0.0,1.557,0.286,0,0.242
53,44764.0,4.0,534.0,4787,48,home_improvement,single,1,0.0,mortgage,bachelor,7,1,38.0,0.0,0.107,0.204,0,0.429
29,14886.0,4.0,492.0,8941,36,home_improvement,single,1,7136.0,own,bachelor,6,0,,0.479,0.601,0.274,0,0.129
58,14588.0,3.0,484.0,3901,60,debt_consolidation,single,1,5817.0,mortgage,bachelor,2,0,,0.399,0.267,0.211,0,0.124
36,80878.0,7.0,850.0,7607,48,business,single,0,18921.0,own,master,5,0,,0.234,0.094,0.03,1,0.914
29,41998.0,9.0,820.0,7102,48,debt_consolidation,single,1,7647.0,rent,bachelor,4,0,,0.182,0.169,0.03,1,0.85
26,40083.0,4.0,662.0,9902,36,debt_consolidation,married,1,13715.0,mortgage,phd,7,0,,0.342,0.247,0.118,1,0.6
24,62063.0,3.0,685.0,12486,48,debt_consolidation,married,0,0.0,rent,high_school,6,0,,0.0,0.201,0.098,1,0.817
45,40735.0,4.0,670.0,16147,48,home_improvement,single,1,13624.0,mortgage,high_school,6,0,,0.334,0.396,0.144,1,0.511
31,102595.0,4.0,508.0,6545,60,home_improvement,married,1,2824.0,own,bachelor,4,1,39.0,0.028,0.064,0.209,0,0.561
48,43175.0,6.0,767.0,13603,60,car,married,2,1731.0,rent,high_school,4,0,,0.04,0.315,0.08,1,0.753
69,59128.0,3.0,756.0,5932,24,personal,married,0,303.0,rent,high_school,6,0,,0.005,0.1,0.042,1,0.858
36,74274.0,10.0,552.0,500,36,personal,married,0,32669.0,mortgage,master,8,0,,0.44,0.007,0.125,1,0.8
64,90056.0,5.0,676.0,20406,12,education,single,0,0.0,rent,bachelor,0,0,,0.0,0.227,0.107,1,0.789
33,31450.0,5.0,644.0,8372,12,debt_consolidation,married,1,20151.0,mortgage,high_school,2,0,,0.641,0.266,0.131,0,0.234
22,39551.0,3.0,633.0,500,36,education,single,2,9301.0,rent,master,4,0,,0.235,0.013,0.086,1,0.583
52,81865.0,2.0,596.0,20605,60,debt_consolidation,single,0,0.0,own,high_school,1,0,,0.0,0.252,0.152,1,0.596
29,70252.0,7.0,641.0,12492,72,medical,single,0,5537.0,mortgage,bachelor,1,0,,0.079,0.178,0.115,1,0.66
42,76879.0,5.0,608.0,19528,36,home_improvement,married,1,0.0,rent,high_school,3,0,,0.0,0.254,0.147,1,0.72
69,15782.0,4.0,735.0,19184,48,personal,married,1,35794.0,rent,high_school,4,0,,2.268,1.215,0.276,0,0.01
38,88700.0,6.0,648.0,4056,60,personal,single,0,4479.0,mortgage,high_school,1,0,,0.05,0.046,0.085,1,0.788
53,30965.0,5.0,595.0,24305,72,home_improvement,married,1,26732.0,own,master,5,0,,0.863,0.785,0.26,0,0.103
40,54807.0,4.0,648.0,500,72,home_improvement,married,1,30186.0,mortgage,high_school,3,0,,0.551,0.009,0.078,0,0.465
33,46294.0,7.0,639.0,11028,24,car,single,0,1479.0,mortgage,bachelor,5,0,,0.032,0.238,0.128,1,0.718
56,28038.0,4.0,635.0,10366,36,debt_consolidation,single,0,10440.0,own,high_school,5,0,,0.372,0.37,0.156,0,0.368
62,14687.0,2.0,704.0,7234,12,personal,married,1,12781.0,mortgage,bachelor,5,0,,0.87,0.493,0.147,0,0.126
59,6404.0,3.0,628.0,27261,48,home_improvement,single,0,38504.0,mortgage,bachelor,5,0,,6.012,4.256,0.35,0,0.01
56,52975.0,8.0,604.0,18012,60,debt_consolidation,married,1,7131.0,mortgage,bachelor,5,0,,0.135,0.34,0.166,1,0.673
31,11867.0,5.0,541.0,919,36,business,married,0,9194.0,rent,bachelor,3,1,94.0,0.775,0.077,0.195,0,0.036
48,21655.0,6.0,649.0,2366,60,debt_consolidation,single,1,0.0,mortgage,master,5,0,,0.0,0.109,0.097,1,0.677
22,44549.0,2.0,750.0,36542,48,debt_consolidation,single,0,0.0,mortgage,high_school,3,0,,0.0,0.82,0.189,0,0.473
52,5000.0,3.0,640.0,10231,72,car,single,1,2505.0,rent,high_school,3,0,,0.501,2.046,0.35,0,0.014
40,69474.0,3.0,610.0,7040,12,education,married,2,29520.0,own,master,3,0,,0.425,0.101,0.115,0,0.534
46,5000.0,7.0,589.0,26565,24,car,single,0,38398.0,rent,other,3,0,,7.678,5.312,0.35,0,0.01
60,48066.0,5.0,512.0,500,36,education,married,2,17517.0,mortgage,bachelor,5,0,,0.364,0.01,0.146,0,0.503
28,50375.0,2.0,744.0,28870,12,debt_consolidation,single,0,15264.0,other,bachelor,5,0,,0.303,0.573,0.143,0,0.519
35,63452.0,2.0,689.0,7021,60,home_improvement,single,2,20273.0,rent,high_school,3,1,34.0,0.319,0.111,0.128,0,0.344
64,48958.0,,712.0,20149,24,home_improvement,married,1,0.0,other,bachelor,3,0,,0.0,0.412,0.126,1,0.704
29,100448.0,8.0,670.0,10211,60,personal,married,0,30849.0,rent,high_school,3,0,,0.307,0.102,0.085,1,0.831
26,55408.0,4.0,586.0,500,24,debt_consolidation,married,0,0.0,own,other,4,0,,0.0,0.009,0.109,1,0.708
27,76340.0,4.0,625.0,16785,36,debt_consolidation,single,1,3178.0,own,high_school,5,0,,0.042,0.22,0.132,1,0.783
61,31913.0,4.0,610.0,24478,60,personal,single,1,19800.0,rent,bachelor,5,1,26.0,0.62,0.767,0.298,0,0.059
34,53019.0,3.0,617.0,500,72,personal,married,1,2782.0,own,bachelor,6,0,,0.052,0.009,0.093,1,0.737
55,88689.0,4.0,617.0,3443,48,personal,married,2,47027.0,mortgage,high_school,4,0,,0.53,0.039,0.099,1,0.624
24,44058.0,6.0,738.0,27379,72,debt_consolidation,married,0,20014.0,rent,bachelor,2,0,,0.454,0.621,0.155,0,0.366
63,54806.0,5.0,812.0,18976,48,car,single,2,24753.0,rent,other,6,0,,0.452,0.346,0.063,1,0.718
30,74521.0,5.0,580.0,19640,48,home_improvement,single,1,0.0,mortgage,bachelor,5,0,,0.0,0.264,0.163,0,0.746
57,31444.0,3.0,636.0,24309,60,personal,married,0,24475.0,mortgage,master,2,0,,0.778,0.773,0.237,0,0.071
59,5000.0,6.0,667.0,19679,36,debt_consolidation,married,1,22151.0,other,high_school,0,0,,4.429,3.935,0.35,0,0.02
26,56389.0,4.0,572.0,16475,36,debt_consolidation,married,0,33468.0,rent,high_school,6,0,,0.594,0.292,0.172,0,0.389
67,74717.0,2.0,654.0,26161,60,home_improvement,married,0,0.0,mortgage,phd,2,0,,0.0,0.35,0.143,0,0.626
44,16214.0,5.0,678.0,11099,36,debt_consolidation,single,1,0.0,own,high_school,4,0,,0.0,0.684,0.198,0,0.411
19,66755.0,7.0,644.0,14834,24,medical,married,1,15045.0,rent,bachelor,3,0,,0.225,0.222,0.122,1,0.642
22,66924.0,8.0,700.0,23259,24,personal,married,1,15494.0,other,bachelor,3,0,,0.232,0.348,0.12,0,0.701
46,5000.0,0.0,650.0,7351,60,medical,single,1,9324.0,rent,bachelor,4,0,,1.864,1.47,0.35,0,0.01
54,26593.0,5.0,421.0,29249,60,home_improvement,single,3,0.0,mortgage,bachelor,3,0,,0.0,1.1,0.35,0,0.1
55,40104.0,4.0,573.0,17913,48,personal,married,3,12948.0,mortgage,bachelor,5,0,,0.323,0.447,0.203,0,0.328
36,45509.0,6.0,765.0,3511,60,debt_consolidation,single,1,14628.0,own,phd,4,0,,0.321,0.077,0.033,1,0.74
25,31422.0,4.0,692.0,13064,48,debt_consolidation,married,1,9955.0,mortgage,high_school,5,0,,0.317,0.416,0.137,0,0.461
65,30075.0,7.0,422.0,1142,60,home_improvement,married,0,9447.0,own,bachelor,11,0,,0.314,0.038,0.197,1,0.575
62,91787.0,2.0,529.0,15859,72,debt_consolidation,married,1,24133.0,rent,high_school,2,0,,0.263,0.173,0.17,0,0.502
18,47311.0,3.0,708.0,11212,60,debt_consolidation,divorced,0,7689.0,mortgage,bachelor,4,0,,0.163,0.237,0.093,0,0.636
39,,3.0,604.0,6353,48,home_improvement,married,0,0.0,mortgage,high_school,4,0,,0.0,0.127,0.137,0,0.522
69,48971.0,5.0,434.0,500,60,personal,single,0,31052.0,own,bachelor,3,0,,0.634,0.01,0.185,0,0.193
34,63427.0,6.0,735.0,7082,48,personal,married,0,30206.0,other,high_school,6,0,,0.476,0.112,0.055,1,0.755
24,51291.0,9.0,708.0,13194,48,home_improvement,single,2,9405.0,own,high_school,5,0,,0.183,0.257,0.097,1,0.787
42,44857.0,6.0,584.0,11280,36,debt_consolidation,single,0,23126.0,own,bachelor,2,0,,0.516,0.251,0.158,0,0.297
62,33750.0,7.0,750.0,798,48,debt_consolidation,married,1,0.0,mortgage,high_school,6,0,,0.0,0.024,0.03,1,0.877
21,33447.0,2.0,587.0,15214,36,home_improvement,single,1,7833.0,rent,bachelor,7,0,,0.234,0.455,0.198,0,0.392
18,35055.0,2.0,600.0,101357,12,debt_consolidation,single,0,0.0,mortgage,bachelor,8,0,,0.0,2.891,0.129,1,0.691
23,58470.0,8.0,611.0,24219,48,debt_consolidation,single,0,26870.0,mortgage,high_school,2,0,,0.46,0.414,0.177,1,0.401
48,25145.0,8.0,498.0,25691,60,education,divorced,1,,mortgage,bachelor,4,0,,,1.022,0.35,0,0.252
36,59832.0,8.0,683.0,12429,12,car,single,1,3830.0,mortgage,master,6,0,,0.064,0.208,0.1,1,0.842
61,85325.0,7.0,692.0,30761,36,debt_consolidation,single,3,13236.0,mortgage,other,5,0,,0.155,0.361,0.126,1,0.845
56,58143.0,6.0,613.0,13590,48,business,divorced,1,22359.0,mortgage,bachelor,4,0,,0.385,0.234,0.14,0,0.508
44,40760.0,2.0,707.0,1995,60,business,married,0,17909.0,own,high_school,7,0,,0.439,0.049,0.056,0,0.604
27,17547.0,7.0,523.0,26852,36,home_improvement,single,2,27145.0,mortgage,high_school,2,0,,1.547,1.53,0.35,0,0.013
43,89453.0,6.0,705.0,31141,24,debt_consolidation,married,1,22058.0,own,master,5,0,,0.247,0.348,0.117,1,0.827
36,20750.0,5.0,676.0,24946,48,personal,single,1,29628.0,own,bachelor,4,0,,1.428,1.202,0.302,0,0.018
56,71214.0,6.0,595.0,7362,60,education,single,0,0.0,rent,high_school,3,0,,0.0,0.103,0.123,1,0.79
20,65963.0,4.0,683.0,2646,12,debt_consolidation,married,0,2731.0,mortgage,bachelor,8,0,,0.041,0.04,0.066,1,0.903
62,44081.0,4.0,579.0,11497,36,education,single,1,16771.0,rent,master,3,0,,0.38,0.261,0.163,0,0.365
30,43426.0,4.0,738.0,39764,60,home_improvement,married,0,33606.0,rent,bachelor,4,0,,0.774,0.916,0.214,0,0.178
67,,5.0,692.0,3231,24,education,married,0,2424.0,rent,master,5,0,,0.048,0.065,0.183,0,0.257
45,58252.0,4.0,679.0,23208,36,home_improvement,single,2,39477.0,own,high_school,5,0,,0.678,0.398,0.14,0,0.397
37,65498.0,7.0,613.0,14075,48,home_improvement,married,0,15296.0,rent,bachelor,8,0,,0.234,0.215,0.136,1,0.799
45,22773.0,2.0,712.0,24442,72,medical,single,1,0.0,mortgage,bachelor,6,0,,0.0,1.073,0.259,0,0.313
25,46104.0,4.0,746.0,2400,36,education,single,0,0.0,rent,bachelor,6,0,,0.0,0.052,0.037,1,0.892
58,50947.0,1.0,779.0,12505,48,debt_consolidation,married,0,21035.0,mortgage,bachelor,4,0,,0.413,0.245,0.06,1,0.567
56,64614.0,6.0,606.0,6020,36,debt_consolidation,single,0,398.0,rent,bachelor,3,0,,0.006,0.093,0.116,1,0.745
18,50095.0,1.0,715.0,6588,60,debt_consolidation,married,0,5917.0,rent,bachelor,4,0,,0.118,0.132,0.069,1,0.668
20,9342.0,6.0,762.0,22366,24,home_improvement,single,0,12431.0,mortgage,high_school,5,0,,1.331,2.394,0.35,0,0.016
30,36752.0,,631.0,3810,48,debt_consolidation,married,0,12993.0,rent,other,1,0,,0.354,0.104,0.105,0,0.396
45,55616.0,0.0,762.0,17899,60,education,married,1,38687.0,rent,master,4,0,,0.696,0.322,0.083,0,0.408
18,71038.0,6.0,663.0,101357,72,debt_consolidation,single,1,15908.0,other,bachelor,2,0,,0.224,1.427,0.112,0,0.664
42,34559.0,1.0,569.0,5462,60,medical,married,0,928.0,rent,high_school,5,0,,0.027,0.158,0.147,0,0.45
50,104691.0,4.0,593.0,7623,36,business,married,1,0.0,rent,high_school,5,0,,0.0,0.073,0.118,1,0.858
55,5000.0,6.0,535.0,18339,48,debt_consolidation,divorced,0,35009.0,rent,master,3,0,,7.0,3.667,0.35,0,0.02
23,35907.0,7.0,647.0,14749,36,education,single,0,2268.0,rent,phd,7,0,,0.063,0.411,0.159,1,0.735
61,47924.0,6.0,637.0,15383,48,personal,divorced,2,18771.0,rent,high_school,3,0,,0.392,0.321,0.146,0,0.42
62,44981.0,3.0,665.0,12674,60,debt_consolidation,married,0,12883.0,mortgage,bachelor,2,0,,0.286,0.282,0.124,0,0.412
49,19196.0,7.0,759.0,12027,60,personal,married,1,16309.0,rent,bachelor,1,0,,0.85,0.627,0.146,0,0.131
62,61197.0,6.0,649.0,14784,48,education,divorced,2,30974.0,rent,high_school,4,0,,0.506,0.242,0.124,1,0.565
64,59277.0,5.0,629.0,29392,60,car,married,0,14241.0,mortgage,bachelor,5,0,,0.24,0.496,0.185,0,0.535
38,51199.0,7.0,634.0,20291,72,debt_consolidation,married,0,22262.0,own,bachelor,1,0,,0.435,0.396,0.162,0,0.351
33,58296.0,4.0,502.0,13691,72,medical,married,1,14586.0,rent,high_school,4,0,,0.25,0.235,0.196,0,0.379
38,39406.0,7.0,,4182,60,home_improvement,married,1,3197.0,own,high_school,4,0,,0.081,0.106,0.069,1,0.752
28,9566.0,1.0,638.0,10810,48,medical,single,0,17411.0,rent,high_school,6,0,,1.82,1.13,0.307,0,0.01
54,32084.0,2.0,656.0,5798,48,personal,single,1,237.0,own,master,1,0,,0.007,0.181,0.108,1,0.426
53,53926.0,2.0,634.0,7034,36,car,married,0,0.0,own,bachelor,6,0,,0.0,0.13,0.109,1,0.722
52,54069.0,6.0,660.0,500,24,debt_consolidation,widowed,2,18723.0,other,bachelor,6,0,,0.346,0.009,0.072,1,0.746
36,51034.0,8.0,545.0,14887,48,debt_consolidation,married,3,16960.0,rent,bachelor,4,0,,0.332,0.292,0.186,1,0.473
37,63718.0,6.0,650.0,35677,36,debt_consolidation,married,0,15420.0,mortgage,other,5,0,,0.242,0.56,0.187,1,0.603
35,35471.0,0.0,602.0,16962,48,personal,married,0,9655.0,rent,high_school,8,0,,0.272,0.478,0.195,0,0.376
64,50667.0,10.0,653.0,22274,48,debt_consolidation,single,1,8916.0,own,high_school,5,0,,0.176,0.44,0.162,1,0.71
58,64302.0,2.0,569.0,24598,48,home_improvement,single,1,0.0,rent,high_school,3,0,,0.0,0.383,0.192,1,0.499
66,47878.0,5.0,688.0,12133,12,debt_consolidation,single,1,0.0,own,master,4,0,,0.0,0.253,0.107,1,0.728
31,18917.0,8.0,652.0,12802,24,personal,single,1,23317.0,own,bachelor,3,1,96.0,1.233,0.677,0.259,0,0.021
32,25963.0,5.0,546.0,1033,24,home_improvement,married,1,23115.0,other,master,3,0,,0.89,0.04,0.135,0,0.141
48,70771.0,4.0,726.0,16969,36,personal,married,0,6236.0,mortgage,high_school,6,0,,0.088,0.24,0.085,1,0.833
18,84812.0,3.0,609.0,15559,72,medical,single,2,32077.0,own,bachelor,5,1,64.0,0.378,0.183,0.182,0,0.368
20,79382.0,7.0,621.0,6438,36,personal,single,0,17499.0,rent,high_school,4,0,,0.22,0.081,0.106,1,0.768
33,55804.0,7.0,714.0,26485,36,debt_consolidation,single,0,15069.0,own,bachelor,1,0,,0.27,0.475,0.138,0,0.52
40,19922.0,3.0,736.0,7234,24,debt_consolidation,single,1,40263.0,mortgage,high_school,7,0,,2.021,0.363,0.105,0,0.054
28,49841.0,3.0,613.0,43474,48,debt_consolidation,married,0,0.0,rent,bachelor,0,0,,0.0,0.872,0.268,0,0.243
29,89056.0,2.0,659.0,19034,60,home_improvement,single,0,9292.0,own,master,3,0,,0.104,0.214,0.113,1,0.731
27,65462.0,2.0,705.0,14781,36,medical,single,2,0.0,rent,phd,2,0,,0.0,0.226,0.093,1,0.654
49,44813.0,7.0,751.0,34389,72,debt_consolidation,divorced,0,4484.0,rent,high_school,3,0,,0.1,0.767,0.178,1,0.57
33,65716.0,4.0,657.0,500,60,debt_consolidation,single,1,8991.0,rent,bachelor,2,1,10.0,0.137,0.008,0.123,0,0.457
25,18265.0,1.0,688.0,12138,36,education,married,0,9333.0,other,master,1,0,,0.511,0.665,0.189,0,0.146
55,32608.0,3.0,577.0,10665,48,debt_consolidation,married,3,0.0,rent,high_school,5,0,,0.0,0.327,0.177,0,0.49
29,22895.0,10.0,529.0,13189,48,home_improvement,single,0,11020.0,rent,bachelor,7,0,,0.481,0.576,0.251,0,0.308
41,61739.0,3.0,694.0,17261,36,debt_consolidation,married,1,0.0,other,bachelor,1,0,,0.0,0.28,0.109,1,0.631
45,67853.0,6.0,585.0,12894,60,medical,married,0,27950.0,own,high_school,2,1,48.0,0.412,0.19,0.196,0,0.213
25,46154.0,4.0,576.0,29010,24,car,single,0,21468.0,mortgage,high_school,4,0,,0.465,0.629,0.238,0,0.214
45,28177.0,5.0,701.0,19354,48,education,single,2,15159.0,rent,high_school,6,0,,0.538,0.687,0.187,0,0.352
53,49506.0,3.0,638.0,19840,48,debt_consolidation,married,0,2862.0,own,bachelor,2,0,,0.058,0.401,0.161,0,0.469
